curvilinear coordinates [in space],curvilinear coordinates [in space]
curve of growth,curve of growth
curvilinear coordinates,curvilinear coordinates
curvilinear coordinates[in a plane],curvilinear coordinates[in a plane]
cusp (cosmic string),cusp (cosmic string)
"cusp, polar","cusp, polar"
cut-off rigidity,cut-off rigidity
cutoff energy,cutoff energy
Cyclone,Cyclone
Cyclongenesis,Cyclongenesis
cyclotron damping and instability,cyclotron damping and instability
Cygnus X1 (Cyg-X1),Cygnus X1 (Cyg-X1)
Cygnus Loop,Cygnus Loop
cyclotron frequency,cyclotron frequency
cyclotron radius,cyclotron radius
Cygnus A,Cygnus A
Cynthion,Cynthion
Cytherean,Cytherean
,
,
,
,
,
,
D layer,D layer
Dalton’s Law,Dalton’s Law
Darcy’s law,Darcy’s law
Darcy velocity (or specific discharge),Darcy velocity (or specific discharge)
Darcy–Weisbach friction factor,Darcy–Weisbach friction factor
dark cloud,dark cloud
dark matter,dark matter
"dark matter, cold","dark matter, cold"
dark nebula,dark nebula
dart leader,dart leader
data assimulation,data assimulation
"dark matter, hot","dark matter, hot"
Davidson current,Davidson current
Day,Day
daylight savings time,daylight savings time
DDO classification scheme,DDO classification scheme
dead zone,dead zone
Debye length,Debye length
decelleration parameter,decelleration parameter
Decibel,Decibel
Declination,Declination
Deep Space 1 (DS1),Deep Space 1 (DS1)
Deep Space 2,Deep Space 2
Decollement,Decollement
deep(-focus) earthquake,deep(-focus) earthquake
Deep Space Network (DSN),Deep Space Network (DSN)
deep water wav,deep water wav
defect,defect
Deferent,Deferent
deficit angle (cosmic string),deficit angle (cosmic string)
Degeneracy,Degeneracy
degree (temperature),degree (temperature)
Deflation,Deflation
deformation radius,deformation radius
de Hoffman–Teller frame,de Hoffman–Teller frame
Delta surface approximation,Delta surface approximation
Density,Density
density current,density current
density inversion,density inversion
Deimos,Deimos
Delta,Delta
Delta Scuti stars,Delta Scuti stars
depleted mantle,depleted mantle
depletion layer,depletion layer
depth of compensation,depth of compensation
Derrick theorem,Derrick theorem
Despina,Despina
Descartes ray,Descartes ray
Dessler–Parker–Sckopke (DPS) theorem,Dessler–Parker–Sckopke (DPS) theorem
Desdemona,Desdemona
deSitter Universe,deSitter Universe
Detritus,Detritus
Deuterium,Deuterium
deuterium burning,deuterium burning
de Vaucouleurs’ law,de Vaucouleurs’ law
de Vaucouleurs’ classification scheme,de Vaucouleurs’ classification scheme
deviative absorption,deviative absorption
deviatoric strain,deviatoric strain
deviatoric stress,deviatoric stress
Dew,Dew
dew point,dew point
Diel,Diel
Dex,Dex
dielectric strength,dielectric strength
dextral fault,dextral fault
Diapir,Diapir
differential charging,differential charging
Diapycnal,Diapycnal
differential emission measure,differential emission measure
dichotomy of Mars,dichotomy of Mars
differential heating/cooling,differential heating/cooling
Differentiation,Differentiation
differential rotation,differential rotation
Diffraction,Diffraction
diffraction grating,diffraction grating
diffuse absorption coefficient,diffuse absorption coefficient
diffuse attenuation coefficient,diffuse attenuation coefficient
